[T=1075000] PC=000000a4 INSTR=00000013 | mem_rd=x0 mem_rw=1 mem_mw=0 | dmem_wr=0 | mem_stall=0 fetch_stall=1
[T=1085000] PC=000000a4 INSTR=00000013 | mem_rd=x0 mem_rw=1 mem_mw=0 | dmem_wr=0 | mem_stall=0 fetch_stall=1
[T=1095000] PC=000000a4 INSTR=00000013 | mem_rd=x0 mem_rw=1 mem_mw=0 | dmem_wr=0 | mem_stall=0 fetch_stall=1
[T=1105000] PC=000000a4 INSTR=00000013 | mem_rd=x0 mem_rw=1 mem_mw=0 | dmem_wr=0 | mem_stall=0 fetch_stall=1
[T=1115000] PC=000000a4 INSTR=00000013 | mem_rd=x0 mem_rw=1 mem_mw=0 | dmem_wr=0 | mem_stall=0 fetch_stall=0
[T=1125000] PC=000000a8 INSTR=00000013 | mem_rd=x0 mem_rw=1 mem_mw=0 | dmem_wr=0 | mem_stall=0 fetch_stall=0
[T=1135000] PC=000000ac INSTR=00000013 | mem_rd=x0 mem_rw=1 mem_mw=0 | dmem_wr=0 | mem_stall=0 fetch_stall=0
[T=1145000] PC=000000b0 INSTR=00000013 | mem_rd=x0 mem_rw=1 mem_mw=0 | dmem_wr=0 | mem_stall=0 fetch_stall=0
[T=1155000] PC=000000b4 INSTR=00000013 | mem_rd=x0 mem_rw=1 mem_mw=0 | dmem_wr=0 | mem_stall=0 fetch_stall=1
[T=1165000] PC=000000b4 INSTR=00000013 | mem_rd=x0 mem_rw=1 mem_mw=0 | dmem_wr=0 | mem_stall=0 fetch_stall=1
[T=1175000] PC=000000b4 INSTR=00000013 | mem_rd=x0 mem_rw=1 mem_mw=0 | dmem_wr=0 | mem_stall=0 fetch_stall=1
[T=1185000] PC=000000b4 INSTR=00000013 | mem_rd=x0 mem_rw=1 mem_mw=0 | dmem_wr=0 | mem_stall=0 fetch_stall=1
[T=1195000] PC=000000b4 INSTR=00000013 | mem_rd=x0 mem_rw=1 mem_mw=0 | dmem_wr=0 | mem_stall=0 fetch_stall=1
[T=1205000] PC=000000b4 INSTR=00000013 | mem_rd=x0 mem_rw=1 mem_mw=0 | dmem_wr=0 | mem_stall=0 fetch_stall=0
[T=1215000] PC=000000b8 INSTR=00000013 | mem_rd=x0 mem_rw=1 mem_mw=0 | dmem_wr=0 | mem_stall=0 fetch_stall=0
[T=1225000] PC=000000bc INSTR=00000013 | mem_rd=x0 mem_rw=1 mem_mw=0 | dmem_wr=0 | mem_stall=0 fetch_stall=0
[T=1235000] PC=000000c0 INSTR=00000013 | mem_rd=x0 mem_rw=1 mem_mw=0 | dmem_wr=0 | mem_stall=0 fetch_stall=0
[T=1245000] PC=000000c4 INSTR=00000013 | mem_rd=x0 mem_rw=1 mem_mw=0 | dmem_wr=0 | mem_stall=0 fetch_stall=1
[T=1255000] PC=000000c4 INSTR=00000013 | mem_rd=x0 mem_rw=1 mem_mw=0 | dmem_wr=0 | mem_stall=0 fetch_stall=1
[T=1265000] PC=000000c4 INSTR=00000013 | mem_rd=x0 mem_rw=1 mem_mw=0 | dmem_wr=0 | mem_stall=0 fetch_stall=1
[T=1275000] PC=000000c4 INSTR=00000013 | mem_rd=x0 mem_rw=1 mem_mw=0 | dmem_wr=0 | mem_stall=0 fetch_stall=1
[T=1285000] PC=000000c4 INSTR=00000013 | mem_rd=x0 mem_rw=1 mem_mw=0 | dmem_wr=0 | mem_stall=0 fetch_stall=1
[T=1295000] PC=000000c4 INSTR=00000013 | mem_rd=x0 mem_rw=1 mem_mw=0 | dmem_wr=0 | mem_stall=0 fetch_stall=0
[T=1305000] PC=000000c8 INSTR=00000013 | mem_rd=x0 mem_rw=1 mem_mw=0 | dmem_wr=0 | mem_stall=0 fetch_stall=0
[T=1315000] PC=000000cc INSTR=00000013 | mem_rd=x0 mem_rw=1 mem_mw=0 | dmem_wr=0 | mem_stall=0 fetch_stall=0
[T=1325000] PC=000000d0 INSTR=00000013 | mem_rd=x0 mem_rw=1 mem_mw=0 | dmem_wr=0 | mem_stall=0 fetch_stall=0
[T=1335000] PC=000000d4 INSTR=00000013 | mem_rd=x0 mem_rw=1 mem_mw=0 | dmem_wr=0 | mem_stall=0 fetch_stall=1
[T=1345000] PC=000000d4 INSTR=00000013 | mem_rd=x0 mem_rw=1 mem_mw=0 | dmem_wr=0 | mem_stall=0 fetch_stall=1
[T=1355000] PC=000000d4 INSTR=00000013 | mem_rd=x0 mem_rw=1 mem_mw=0 | dmem_wr=0 | mem_stall=0 fetch_stall=1
[T=1365000] PC=000000d4 INSTR=00000013 | mem_rd=x0 mem_rw=1 mem_mw=0 | dmem_wr=0 | mem_stall=0 fetch_stall=1
[T=1375000] PC=000000d4 INSTR=00000013 | mem_rd=x0 mem_rw=1 mem_mw=0 | dmem_wr=0 | mem_stall=0 fetch_stall=1
